Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,miyazaki94,CART,grid search,,5,1.0,0.6020148332717885,13.222222222222221,311.0888888888889,17.637712121726246,7.9,60.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-954.4108571428571,"[-795.9785714285714, -410.75428571428574, -583.6814285714286, -2528.015, -453.62499999999983]","[-795.9785714285714, -410.75428571428574, -583.6814285714286, -2528.015, -453.62499999999983]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[39.0, 18.0, 6.0, 31.5, 20.6, 22.0, 103.5, 8.2, 8.2]",0:00:00.002093
1,miyazaki94,CART,grid search,KFold,5,0.5011742731161289,0.16537523906481322,19.65972222222222,652.3923784722223,25.54197287744669,14.187499999999998,17.0,"{'model__max_depth': 2, 'model__max_features': 0.7}",-544.874998755319,"[-139.53916106054606, -649.2625857142858, -160.2761142857143, -1567.6427499999993, -207.6543827160494]","[-139.53916106054606, -649.2625857142858, -160.2761142857143, -1567.6427499999993, -207.6543827160494]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[19.787499999999998, 44.837500000000006, 44.837500000000006, 44.837500000000006, 19.787499999999998, 19.787499999999998, 44.837500000000006, 19.787499999999998, 19.787499999999998]",0:00:00.335746
1,miyazaki94,CART,grid search,RepeatedKFold,5,0.5011742731161289,0.16537523906481322,19.65972222222222,652.3923784722223,25.54197287744669,14.187499999999998,17.0,"{'model__max_depth': 2, 'model__max_features': 0.7}",-616.4107979357013,"[-139.53916106054606, -649.2625857142858, -160.2761142857143, -1567.6427499999993, -207.6543827160494]","[-425.37076375148393, -1722.8432651187197, -208.32341128956506, -523.9705447830102, -393.9132134848399, -1390.604804115552, -724.543236160577, -292.5345193103697, -216.78787909623688, -216.31743908643793, -93.51204642857144, -387.61877479033944, -502.68351580706155, -1021.7499999999999, -1125.388555812757]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[19.787499999999998, 44.837500000000006, 44.837500000000006, 44.837500000000006, 19.787499999999998, 19.787499999999998, 44.837500000000006, 19.787499999999998, 19.787499999999998]",0:00:00.355842
1,miyazaki94,CART,grid search,HoldOut,5,0.31607484646395567,-0.0007249632074337597,25.197222222222223,782.2261805555555,27.96830671591606,24.675000000000004,-0.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-309.8932571428571,"[-340.68448457142847, -865.3667017142858, -255.79765028571427, -1529.4658843537409, -168.76916666666668]",[-309.8932571428571],"[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575]",0:00:00.050195
1,miyazaki94,CART,grid search,RepeatedHoldOut,5,0.31607484646395567,-0.0007249632074337597,25.197222222222223,782.2261805555555,27.96830671591606,24.675000000000004,-0.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-565.5518243714286,"[-340.68448457142847, -865.3667017142858, -255.79765028571427, -1529.4658843537409, -168.76916666666668]","[-309.8932571428571, -1178.7868749999998, -284.79978971428574, -797.1923611428573, -257.0868388571429]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575]",0:00:00.149327
1,miyazaki94,CART,grid search,Bootstrap,5,0.31607484646395567,-0.0007249632074337597,25.19722222222222,782.2261805555556,27.968306715916064,24.674999999999997,-0.0,"{'model__max_depth': 1, 'model__max_features': None}",-696.6067868727481,"[-340.68448457142847, -865.3667017142856, -255.79765028571427, -1360.9616666666664, -168.76916666666662]","[-524.6350458233172, -403.3377532084634, -1264.1485167693909, -675.4365522025669, -1168.3505691636938, -341.87260208926887, -587.1245379413972, -559.618212890625, -792.0866145833334, -364.192149670482, -867.9933332840234, -350.330217516318, -1057.521693420531, -556.4863401360543, -523.2137217078189, -767.1807842209819, -639.348080597862, -762.312108600872, -541.3804447115384, -1010.6568425746992, -399.6906542663892, -559.5401790633608, -883.588611111111, -338.83356029430104, -1505.0477351538461, -293.87000371636685, -922.1586693029834, -1034.4524510833335, -523.154173553719, -1004.0758209647498, -225.7894777777777, -1115.8153687499998, -564.8527777777778, -1209.2462676376877, -184.17538461538464, -571.0720078863638, -635.4192613636362, -1302.5025262920672, -433.89642634160845, -2383.309242221562, -599.4955574792244, -435.5541111111107, -1297.2745634920632, -1155.7630747767857, -1504.6452555555554, -1200.8936716978458, -478.3821459750567, -823.849904455586, -310.9914550179491, -1090.8199754044085]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[38.574999999999996, 38.574999999999996, 38.574999999999996, 38.574999999999996, 38.574999999999996, 38.574999999999996, 38.574999999999996, 38.574999999999996, 38.574999999999996]",0:00:01.090413
0,miyazaki94,CART,random search,,5,1.0,0.6020148332717885,13.222222222222221,311.0888888888889,17.637712121726246,7.9,60.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-954.4108571428571,"[-795.9785714285714, -410.75428571428574, -583.6814285714286, -2528.015, -453.62499999999983]","[-795.9785714285714, -410.75428571428574, -583.6814285714286, -2528.015, -453.62499999999983]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[39.0, 18.0, 6.0, 31.5, 20.6, 22.0, 103.5, 8.2, 8.2]",0:00:00.002001
1,miyazaki94,CART,random search,KFold,5,0.5011742731161289,0.16537523906481322,19.65972222222222,652.3923784722223,25.54197287744669,14.187499999999998,17.0,"{'model__max_depth': 2, 'model__max_features': 0.57660516520127}",-544.874998755319,"[-139.53916106054606, -649.2625857142858, -160.2761142857143, -1567.6427499999993, -207.6543827160494]","[-139.53916106054606, -649.2625857142858, -160.2761142857143, -1567.6427499999993, -207.6543827160494]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[19.787499999999998, 44.837500000000006, 44.837500000000006, 44.837500000000006, 19.787499999999998, 19.787499999999998, 44.837500000000006, 19.787499999999998, 19.787499999999998]",0:00:00.260655
1,miyazaki94,CART,random search,RepeatedKFold,5,0.5011742731161289,0.16537523906481322,19.65972222222222,652.3923784722223,25.54197287744669,14.187499999999998,17.0,"{'model__max_depth': 2, 'model__max_features': 0.57660516520127}",-616.4107979357013,"[-139.53916106054606, -649.2625857142858, -160.2761142857143, -1567.6427499999993, -207.6543827160494]","[-425.37076375148393, -1722.8432651187197, -208.32341128956506, -523.9705447830102, -393.9132134848399, -1390.604804115552, -724.543236160577, -292.5345193103697, -216.78787909623688, -216.31743908643793, -93.51204642857144, -387.61877479033944, -502.68351580706155, -1021.7499999999999, -1125.388555812757]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[19.787499999999998, 44.837500000000006, 44.837500000000006, 44.837500000000006, 19.787499999999998, 19.787499999999998, 44.837500000000006, 19.787499999999998, 19.787499999999998]",0:00:00.403037
1,miyazaki94,CART,random search,HoldOut,5,0.31607484646395567,-0.0007249632074337597,25.197222222222223,782.2261805555555,27.96830671591606,24.675000000000004,-0.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-309.89325714285724,"[-340.68448457142847, -865.3667017142856, -255.79765028571427, -1529.4658843537416, -168.76916666666668]",[-309.89325714285724],"[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575]",0:00:00.057002
1,miyazaki94,CART,random search,RepeatedHoldOut,5,0.31607484646395567,-0.0007249632074337597,25.197222222222223,782.2261805555555,27.96830671591606,24.675000000000004,-0.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-626.5914815142859,"[-340.68448457142847, -865.3667017142856, -255.79765028571427, -1529.4658843537416, -168.76916666666668]","[-309.89325714285724, -1483.985160714286, -284.79978971428574, -797.1923611428574, -257.0868388571429]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575]",0:00:00.161725
1,miyazaki94,CART,random search,Bootstrap,5,0.31607484646395567,-0.0007249632074337597,25.197222222222223,782.2261805555555,27.96830671591606,24.675000000000004,-0.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-817.7504289440313,"[-340.68448457142847, -865.3667017142856, -255.79765028571427, -1529.4658843537416, -168.76916666666668]","[-752.1580598958334, -569.2409859693878, -688.2107649739582, -626.4264965813815, -597.4242399999999, -710.682900390625, -661.5783663225243, -1202.9997768620037, -651.7755698846153, -1296.7881212962964, -756.7582916666668, -95.87683792924035, -381.5367151988636, -1127.0752812071335, -1168.8350125, -470.1929267261718, -683.4734253439783, -957.7961983471077, -916.2040500685873, -221.56444458896982, -813.9942767950052, -463.91082226562514, -1405.1746282798836, -689.5422582644627, -475.69826638917795, -1413.8386187832962, -770.5343202955835, -1175.7346139595754, -983.5236271734653, -341.4414880332986, -705.2324576822917, -684.1626714304292, -590.0401571785715, -606.4432910156249, -1151.14712, -1107.312564709596, -982.0560934120823, -360.8124034188037, -947.4216543209877, -639.9333872767858, -1154.0585272108842, -961.3337722908092, -239.58656079545452, -758.1918247767857, -1879.6622222222222, -779.0903500796542, -310.5578846153845, -499.11583978152026, -906.4197595835107, -783.3578422895783]","[67.3, 48.0, 13.9, 59.5, 20.1, 29.0, 89.5, 7.5, 5.6]","[38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575, 38.575]",0:00:01.157500
