Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,5,1.0,0.12683790111707616,4872.461538461538,33698544.615384616,5805.044755674552,4948.0,13.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-110356231.00444445,"[-285333456.4, -37411944.8, -84297748.4, -29844434.2, -114893571.22222222]","[-285333456.4, -37411944.8, -84297748.4, -29844434.2, -114893571.22222222]","[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[1100.0, 583.0, 8752.0, 9369.0, 9369.0, 8752.0, 8710.0, 8752.0, 25910.0, 9369.0, 15052.0, 9125.0, 9369.0]",0:00:00.002000
1,maxwell,CART,grid search,KFold,5,1.0,-0.38472359414822277,5749.538461538462,53441588.76923077,7310.375419171765,4575.0,-38.0,"{'model__max_depth': None, 'model__max_features': 0.7}",-90218040.8,"[-246443196.7, -15200394.4, -15766582.4, -43844480.5, -129835550.0]","[-246443196.7, -15200394.4, -15766582.4, -43844480.5, -129835550.0]","[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[796.0, 845.0, 9125.0, 11900.0, 11900.0, 11900.0, 8710.0, 9125.0, 25910.0, 1798.0, 37286.0, 11900.0, 11039.0]",0:00:00.306558
1,maxwell,CART,grid search,RepeatedKFold,5,0.09475021048944465,-0.038327511567093575,5088.5,40072886.83131054,6330.314907752263,3958.488888888889,-4.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-130516376.70747358,"[-333248350.66440445, -95580095.47870013, -62214206.74787098, -89717862.44597319, -142579897.50361603]","[-42113640.95491789, -343980058.7878086, -11736578.940408165, -120037636.28441043, -131976261.66609852, -50153764.355953254, -116623814.58195762, -20687769.0046875, -103749904.0462963, -381017758.52160496, -106364452.08444445, -23593859.788088642, -42573873.60117158, -435907084.32758915, -27229193.666666668]","[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 19730.5, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111]",0:00:00.439767
1,maxwell,CART,grid search,HoldOut,5,0.48042737887974774,-0.3189721231184741,5427.179487179486,50903997.086245626,7134.70371397759,4123.195652173913,-32.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-14451417.977551019,"[-333248350.66440445, -104640663.87231556, -20393310.008448757, -54249991.500771604, -145036206.11111113]",[-14451417.977551019],"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 38677.333333333336, 6104.195652173913, 6104.195652173913]",0:00:00.065557
1,maxwell,CART,grid search,RepeatedHoldOut,5,0.982210067478701,-3.3967861649023803,7633.071794871795,169688188.4037607,13026.441893462723,5151.166666666666,-340.0,"{'model__max_depth': 5, 'model__max_features': 0.7}",-53322513.86829981,"[-297427774.67691326, -131250969.3113426, -17062648.92889211, -40982772.8757551, -124568361.18055555]","[-17340752.70348944, -34451578.041777775, -169347529.24869445, -27858692.08353741, -17614017.264]","[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[1712.0, 1374.4, 9375.166666666666, 9375.166666666666, 9375.166666666666, 9375.166666666666, 6681.333333333333, 9375.166666666666, 25910.0, 9375.166666666666, 63694.0, 5461.5, 9375.166666666666]",0:00:00.178997
1,maxwell,CART,grid search,Bootstrap,5,0.09475021048944465,-0.038327511567093575,5088.5,40072886.83131054,6330.314907752263,3958.488888888889,-4.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-141808065.13857356,"[-333248350.66440445, -95580095.47870013, -62214206.74787098, -89717862.44597319, -142579897.50361603]","[-256806330.36491647, -291120507.6869646, -237086346.77555433, -251208898.8701217, -78843156.78275624, -264146708.47406468, -198535096.0547969, -191001137.60787302, -86962256.30488178, -86111589.94325313, -67506068.83378088, -231453799.34999174, -62608680.098967396, -276978537.2208325, -132076523.56501503, -331178704.0268641, -105100926.14243078, -146263300.0681328, -112515416.88216959, -115050583.72656184, -55916985.41361377, -228668583.3008648, -79526900.14017941, -179936324.1098496, -269572328.0350941, -222566549.23048523, -93143260.34278156, -94975270.30411041, -236516507.0197373, -104335528.0338979, -73028870.06426817, -70542081.75138503, -80918439.43590562, -69120245.82780598, -265753221.35542387, -79328430.77031603, -74896788.64583333, -46616226.498477794, -59725403.79197846, -42828531.78111905, -264526436.53802058, -97277338.878914, -133853654.47453704, -271559702.40733653, -82281455.91298921, -59744531.33505322, -78595109.71037583, -215331383.52777776, -69923201.75913674, -109463643.48245613]","[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111, 19730.5, 7064.511111111111, 7064.511111111111, 7064.511111111111, 7064.511111111111]",0:00:01.486763
0,maxwell,CART,random search,,5,1.0,0.12683790111707616,4872.461538461538,33698544.615384616,5805.044755674552,4948.0,13.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-110356231.00444445,"[-285333456.4, -37411944.8, -84297748.4, -29844434.2, -114893571.22222222]","[-285333456.4, -37411944.8, -84297748.4, -29844434.2, -114893571.22222222]","[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[1100.0, 583.0, 8752.0, 9369.0, 9369.0, 8752.0, 8710.0, 8752.0, 25910.0, 9369.0, 15052.0, 9125.0, 9369.0]",0:00:00.002008
1,maxwell,CART,random search,KFold,5,1.0,-0.38472359414822277,5749.538461538462,53441588.76923077,7310.375419171765,4575.0,-38.0,"{'model__max_depth': 29, 'model__max_features': 0.7177951105625409}",-90218040.8,"[-246443196.7, -15200394.4, -15766582.4, -43844480.5, -129835550.0]","[-246443196.7, -15200394.4, -15766582.4, -43844480.5, -129835550.0]","[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[796.0, 845.0, 9125.0, 11900.0, 11900.0, 11900.0, 8710.0, 9125.0, 25910.0, 1798.0, 37286.0, 11900.0, 11039.0]",0:00:00.192932
1,maxwell,CART,random search,RepeatedKFold,5,0.22344200155369842,-0.7299892688807088,6101.713362068966,66766664.10062533,8171.087081938689,3545.3125,-73.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-133696294.37264211,"[-285160639.17411125, -70354463.1819728, -28632755.035223067, -59292709.95672977, -114843443.8791483]","[-60325949.4953125, -337588234.7788584, -13898742.863378685, -124977768.7403136, -152771542.55486187, -44958145.40427824, -152250473.32762998, -27421234.354005504, -99269557.59097438, -386033983.5552087, -163985748.3122099, -8433893.937555557, -57794062.72390334, -336448252.3096479, -39286825.64149305]","[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[5359.586206896552, 5359.586206896552, 10154.6875, 5359.586206896552, 5359.586206896552, 5359.586206896552, 10154.6875, 10154.6875, 31598.0, 5359.586206896552, 5359.586206896552, 5359.586206896552, 5359.586206896552]",0:00:00.570351
1,maxwell,CART,random search,HoldOut,5,0.48042737887974774,-0.3189721231184741,5427.179487179486,50903997.086245626,7134.70371397759,4123.195652173913,-32.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-14451417.977551019,"[-333248350.66440445, -104640663.87231556, -20393310.008448757, -54249991.500771604, -145036206.11111113]",[-14451417.977551019],"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 6104.195652173913, 38677.333333333336, 6104.195652173913, 6104.195652173913]",0:00:00.068620
