Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,desharnais,CART,grid search,,3,1.0,0.4765989290295054,2198.176470588235,15904610.764705881,3988.0585207223176,1029.0,48.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-14486310.747474747,"[-25412453.90909091, -12694710.0, -5351768.333333333]","[-25412453.90909091, -12694710.0, -5351768.333333333]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[7854.0, 14434.0, 840.0, 23940.0, 14434.0, 2989.0, 3542.0, 2149.0, 1575.0, 1575.0, 3829.0, 5180.0, 14434.0, 3276.0, 2989.0, 3927.0, 2520.0]",0:00:00.002001
1,desharnais,CART,grid search,KFold,3,0.8877541245889602,0.5389138544534511,2784.559523809524,14011044.45644091,3743.13297338485,1898.7142857142858,54.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-11334374.791937696,"[-15735851.505048836, -12097604.356213992, -6169668.514550264]","[-15735851.505048836, -12097604.356213992, -6169668.514550264]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[14434.0, 10577.0, 2558.5, 8386.0, 10230.5, 1932.0, 2558.5, 5388.25, 2444.714285714286, 2444.714285714286, 5388.25, 10577.0, 10577.0, 1481.6666666666667, 4317.25, 2558.5, 2558.5]",0:00:00.230073
1,desharnais,CART,grid search,RepeatedKFold,3,0.5254070835201357,-0.1660092675538689,3817.4836601307193,35431573.56193012,5952.442655072799,1725.1111111111113,-17.0,"{'model__max_depth': 2, 'model__max_features': None}",-14157393.853697296,"[-29250141.385498583, -7465606.855705862, -4017298.965506436]","[-21345427.546843436, -11555967.10904958, -12410031.2754592, -6318087.147348038, -18617772.767907605, -13939435.076678423, -16036454.645505054, -15716488.661050573, -11476880.453433752]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[5897.111111111111, 5897.111111111111, 5897.111111111111, 23940.0, 5897.111111111111, 2611.3703703703704, 5897.111111111111, 2611.3703703703704, 2611.3703703703704, 2611.3703703703704, 5897.111111111111, 5897.111111111111, 5897.111111111111, 2611.3703703703704, 2611.3703703703704, 5897.111111111111, 2611.3703703703704]",0:00:00.311236
1,desharnais,CART,grid search,HoldOut,3,1.0,0.4765989290295054,2198.176470588235,15904610.764705881,3988.0585207223176,1029.0,48.0,"{'model__max_depth': None, 'model__max_features': None}",-22410674.615384616,"[-25412453.90909091, -12694710.0, -5351768.333333333]",[-22410674.615384616],"[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[7854.0, 14434.0, 840.0, 23940.0, 14434.0, 2989.0, 3542.0, 2149.0, 1575.0, 1575.0, 3829.0, 5180.0, 14434.0, 3276.0, 2989.0, 3927.0, 2520.0]",0:00:00.060464
1,desharnais,CART,grid search,RepeatedHoldOut,3,0.8877541245889602,0.5389138544534511,2784.559523809524,14011044.45644091,3743.13297338485,1898.7142857142858,54.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-13939097.992267177,"[-15735851.505048836, -12097604.356213992, -6169668.514550264]","[-22986039.853766028, -3318540.7005188894, -15512713.422516618]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[14434.0, 10577.0, 2558.5, 8386.0, 10230.5, 1932.0, 2558.5, 5388.25, 2444.714285714286, 2444.714285714286, 5388.25, 10577.0, 10577.0, 1481.6666666666667, 4317.25, 2558.5, 2558.5]",0:00:00.121836
1,desharnais,CART,grid search,Bootstrap,3,0.5254070835201357,-0.1660092675538689,3817.4836601307193,35431573.56193012,5952.442655072799,1725.1111111111113,-17.0,"{'model__max_depth': 2, 'model__max_features': None}",-14483503.274527008,"[-29250141.385498583, -7465606.855705862, -4017298.965506436]","[-25120058.597366866, -8342304.116475894, -29908261.47125537, -4386239.891110176, -18360744.878913682, -15923102.899434764, -24526478.475216202, -13994107.145165984, -18801889.491732806, -21530058.804583337, -7448095.51111111, -31462617.427614413, -7168187.940481512, -17070207.90708217, -6899401.9244205365, -18975310.763490565, -9095843.73831822, -27661143.941171873, -12430305.153936878, -12896064.697245084, -6161351.342935681, -7655922.241848494, -11674344.79350288, -19828513.79861111, -12463760.529842122, -15371421.3510101, -16632815.85057372, -6610772.330452253, -6982660.294514966, -10959020.415238095, -11127018.321877554, -4823757.535895195, -15613347.022867562, -24306128.1484948, -22386429.138742503, -20848625.005051255, -8179592.822685755, -7566818.345454792, -19577176.158792906, -6598944.660714286, -18249502.33875102, -20062673.880206298, -11785771.316985758, -23414126.626562204, -30465735.82177102, -6428807.93939394, -13466747.715586856, -5528813.299420041, -22434160.38140948, -11653594.072324414]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[5897.111111111111, 5897.111111111111, 5897.111111111111, 23940.0, 5897.111111111111, 2611.3703703703704, 5897.111111111111, 2611.3703703703704, 2611.3703703703704, 2611.3703703703704, 5897.111111111111, 5897.111111111111, 5897.111111111111, 2611.3703703703704, 2611.3703703703704, 5897.111111111111, 2611.3703703703704]",0:00:01.306308
0,desharnais,CART,random search,,3,1.0,0.4765989290295054,2198.176470588235,15904610.764705881,3988.0585207223176,1029.0,48.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-14486310.747474747,"[-25412453.90909091, -12694710.0, -5351768.333333333]","[-25412453.90909091, -12694710.0, -5351768.333333333]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[7854.0, 14434.0, 840.0, 23940.0, 14434.0, 2989.0, 3542.0, 2149.0, 1575.0, 1575.0, 3829.0, 5180.0, 14434.0, 3276.0, 2989.0, 3927.0, 2520.0]",0:00:00.002000
1,desharnais,CART,random search,KFold,3,0.43229796012421806,-0.42088040300324514,4646.117647058823,43176353.6728395,6570.8716067839505,3250.3888888888887,-42.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-8936455.174072277,"[-15326459.701004535, -7465606.855705862, -4017298.965506436]","[-15326459.701004535, -7465606.855705862, -4017298.965506436]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 23940.0, 7090.222222222223, 7090.222222222223, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887]",0:00:00.192919
1,desharnais,CART,random search,RepeatedKFold,3,0.43229796012421806,-0.42088040300324514,4646.117647058823,43176353.6728395,6570.8716067839505,3250.3888888888887,-42.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-13185598.244037189,"[-15326459.701004535, -7465606.855705862, -4017298.965506436]","[-21345427.546843436, -11555967.10904958, -5854708.574283627, -7281724.13298667, -17703906.78604938, -13939435.076678423, -16036454.645505054, -13475879.871504763, -11476880.453433752]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 23940.0, 7090.222222222223, 7090.222222222223, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887]",0:00:00.297321
1,desharnais,CART,random search,HoldOut,3,1.0,0.2883017975638765,3130.823529411765,21626403.76470588,4650.419740701465,2128.0,28.999999999999996,"{'model__max_depth': 15, 'model__max_features': 0.8123957592679836}",-22482263.615384616,"[-33581349.54545455, -13911681.0, -7142926.0]",[-22482263.615384616],"[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[10577.0, 12824.0, 3927.0, 23940.0, 11361.0, 8232.0, 3542.0, 2149.0, 2723.0, 2723.0, 3829.0, 10577.0, 12824.0, 2926.0, 2569.0, 3913.0, 2282.0]",0:00:00.058023
1,desharnais,CART,random search,RepeatedHoldOut,3,0.71034842928747,0.08678579622811833,3361.6703738985475,27749879.129711125,5267.8154039137635,1481.4210526315787,9.0,"{'model__max_depth': 4, 'model__max_features': 0.7185299851677596}",-14919351.027785769,"[-12865226.826480784, -13245955.148169126, -9099497.42482082]","[-22558169.177350428, -3155335.274787512, -19044548.63121937]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[3914.6153846153848, 8204.933333333332, 3914.6153846153848, 23940.0, 8204.933333333332, 2522.5789473684213, 3914.6153846153848, 2149.0, 945.75, 945.75, 3914.6153846153848, 3914.6153846153848, 8204.933333333332, 2522.5789473684213, 2522.5789473684213, 3914.6153846153848, 2522.5789473684213]",0:00:00.127253
1,desharnais,CART,random search,Bootstrap,3,0.43229796012421806,-0.42088040300324514,4646.117647058823,43176353.6728395,6570.8716067839505,3250.3888888888887,-42.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-13833927.400474858,"[-15326459.701004535, -7465606.855705862, -4017298.965506436]","[-16862659.209119003, -7122016.8645065315, -27279012.218671307, -18061002.77319109, -12701671.221936492, -11115607.749588165, -9654912.111127641, -15952616.247091852, -11547272.126772426, -7643586.328085706, -6544654.283333334, -14780668.41935484, -10434062.811287478, -22162327.110887457, -21092195.724291116, -20405547.2601454, -7026908.154272342, -14732539.258311154, -8194999.252268207, -16683691.132841853, -13146908.01180295, -12081852.134275148, -30499261.038202148, -14151329.641797848, -11089858.76746058, -6255421.284761904, -6408446.135597026, -16216447.214215197, -21236876.232524354, -16493699.354869545, -28258668.946115702, -10242989.638020456, -10227126.647065546, -13566556.115693653, -8722274.292244896, -23764454.297999598, -4676430.177777777, -16129628.452474745, -14536371.17741604, -12476268.310731558, -5661173.525196106, -10075456.128691012, -9022246.582762288, -11283026.104884176, -22184056.282921813, -17800432.697687853, -49567471.05432717, -10655786.111006288, -9766197.730120681, -7199362.858816963]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 23940.0, 7090.222222222223, 7090.222222222223, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887, 4055.3888888888887]",0:00:01.349372
0,desharnais,CART,bayes search,,3,1.0,0.4765989290295054,2198.176470588235,15904610.764705881,3988.0585207223176,1029.0,48.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-14486310.747474747,"[-25412453.90909091, -12694710.0, -5351768.333333333]","[-25412453.90909091, -12694710.0, -5351768.333333333]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[7854.0, 14434.0, 840.0, 23940.0, 14434.0, 2989.0, 3542.0, 2149.0, 1575.0, 1575.0, 3829.0, 5180.0, 14434.0, 3276.0, 2989.0, 3927.0, 2520.0]",0:00:00.002001
1,desharnais,CART,bayes search,KFold,3,0.36303960961435666,-0.42871465472669823,4683.404295051354,43414413.415558815,6588.961482324723,3088.936507936508,-43.0,"OrderedDict([('model__max_depth', 1), ('model__max_features', 0.872481013764626)])",-13349201.764926404,"[-21521934.450956937, -11855114.576530611, -6670556.267291665]","[-21521934.450956937, -11855114.576530611, -6670556.267291665]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[4488.936507936508, 4488.936507936508, 4488.936507936508, 23940.0, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508, 4488.936507936508]",0:00:23.906321
1,desharnais,CART,bayes search,RepeatedKFold,3,0.5919848620801236,-0.15066113136461712,4083.7294117647057,34965189.090073526,5913.1369923310185,2470.2,-15.0,"OrderedDict([('model__max_depth', 3), ('model__max_features', 0.8797862762116815)])",-14646075.41771308,"[-32008410.90456159, -11846538.797129761, -4186679.115242736]","[-23862187.861111112, -14159140.76568362, -13629348.083480308, -6327530.162828282, -14937650.331093473, -13866916.97255291, -14453436.033446968, -11118813.613284323, -19459654.935936727]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[6284.5, 6284.5, 3275.2, 23940.0, 6104.875, 6104.875, 3275.2, 3275.2, 3275.2, 3275.2, 3275.2, 6284.5, 6284.5, 3275.2, 3275.2, 3275.2, 3275.2]",0:00:32.499456
1,desharnais,CART,bayes search,HoldOut,3,0.9999965370930682,0.1554953937307949,3444.5882352941176,25661997.647058822,5065.7672318276545,2128.0,16.0,"OrderedDict([('model__max_depth', 13), ('model__max_features', 0.8094080202241276)])",-22482263.615384616,"[-33581349.54545455, -13911681.0, -7142926.0]",[-22482263.615384616],"[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[4277.0, 12824.0, 3927.0, 23940.0, 9100.0, 11361.0, 3542.0, 2149.0, 2723.0, 2723.0, 3829.0, 4277.0, 12824.0, 2926.0, 2569.0, 3913.0, 2282.0]",0:00:27.484290
1,desharnais,CART,bayes search,RepeatedHoldOut,3,1.0,0.26033410117487044,3049.705882352941,22476259.352941178,4740.913345858705,1435.0,26.0,"OrderedDict([('model__max_depth', 24), ('model__max_features', 0.6066204305086463)])",-15338417.69230769,"[-14550106.863636363, -14202206.666666666, -13289061.333333334]","[-22932924.692307692, -6390640.307692308, -16691688.076923076]","[5775.0, 14987.0, 805.0, 9520.0, 13860.0, 1400.0, 4172.0, 2821.0, 595.0, 546.0, 5635.0, 9051.0, 19894.0, 4004.0, 1617.0, 5152.0, 2174.0]","[3983.0, 9100.0, 3913.0, 23940.0, 9100.0, 2282.0, 6405.0, 2149.0, 1575.0, 1575.0, 3829.0, 7854.0, 10577.0, 2569.0, 2282.0, 6405.0, 2583.0]",0:00:27.950366
