Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,nasa93,CART,grid search,,3,1.0,0.5566345973804492,368.74210526315784,434224.8089473684,658.9573650452421,180.0,56.00000000000001,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-1604414.642011111,"[-1943793.5764, -2003358.7988000002, -866091.5508333333]","[-1943793.5764, -2003358.7988000002, -866091.5508333333]","[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[70.0, 1924.5, 48.0, 120.0, 756.0, 48.0, 409.0, 98.8, 60.0, 72.0, 18.0, 1248.0, 1368.0, 444.0, 1248.0, 18.0, 36.0, 98.8, 90.0]",0:00:00.003005
1,nasa93,CART,grid search,KFold,3,1.0,-0.4422423022228439,588.5368421052632,1412508.4736842108,1188.4899973008653,167.0,-44.0,"{'model__max_depth': None, 'model__max_features': 0.3}",-1426024.8800277775,"[-1721074.9843999997, -1892044.8935999998, -664954.7620833333]","[-1721074.9843999997, -1892044.8935999998, -664954.7620833333]","[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[70.0, 8211.0, 48.0, 120.0, 756.0, 48.0, 409.0, 150.0, 2400.0, 72.0, 18.0, 60.0, 1181.0, 571.4, 1181.0, 18.0, 8.4, 98.8, 48.0]",0:00:00.269552
1,nasa93,CART,grid search,RepeatedKFold,3,0.48155369467396714,0.6996504846979423,351.3685583524028,294157.39281619736,542.3627870864642,240.736231884058,70.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-1347091.4147062604,"[-1516674.0882454107, -1886469.2525541664, -1040218.5561979165]","[-1096911.327847895, -1563076.4398454106, -1826861.606454429, -1969316.802461385, -967396.5548269808, -1616814.6605966936, -647530.718974074, -876116.3662087825, -1559798.2551406913]","[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[407.263768115942, 3622.78, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942]",0:00:00.413022
1,nasa93,CART,grid search,HoldOut,3,0.9677429357561785,0.5668370594824426,367.9526315789473,424232.6847742689,651.3314707384167,159.3466666666667,56.99999999999999,"{'model__max_depth': 5, 'model__max_features': None}",-261266.76016791665,"[-1908537.551393452, -2017279.169778859, -801270.1721923243]",[-261266.76016791665],"[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[144.0, 1924.5, 144.0, 80.8, 314.3466666666667, 144.0, 409.0, 314.3466666666667, 80.8, 144.0, 80.8, 1125.4, 1125.4, 314.3466666666667, 1125.4, 80.8, 80.8, 314.3466666666667, 80.8]",0:00:00.072266
1,nasa93,CART,grid search,RepeatedHoldOut,3,0.48155369467396714,0.6996504846979423,351.3685583524028,294157.39281619736,542.3627870864642,240.736231884058,70.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-1374003.1678593569,"[-1516674.0882454107, -1886469.2525541664, -1040218.5561979165]","[-352161.8950589849, -3077605.0936143477, -692242.5149047382]","[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[407.263768115942, 3622.78, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942]",0:00:00.145397
1,nasa93,CART,grid search,Bootstrap,3,0.48155369467396714,0.6996504846979423,351.3685583524028,294157.39281619736,542.3627870864642,240.736231884058,70.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-1238808.0550941012,"[-1516674.0882454107, -1886469.2525541664, -1040218.5561979165]","[-1844073.4503796964, -1144761.1110560843, -889618.8611060558, -327266.75528521824, -850771.0680844826, -1856991.9064510108, -1835200.0558696163, -1585427.056714087, -208568.19296938772, -682909.5384843508, -579400.5212757202, -3259620.7657336914, -2586790.151325298, -1623642.3516681711, -1706181.4138161137, -880962.5620389661, -280980.02162011503, -1303551.4701961097, -1714599.7521744797, -433406.55180645164, -2141765.7607312417, -2045354.1078351852, -239653.9153185817, -543889.03046749, -1719496.9037653073, -1290172.5905961632, -1379136.9701024438, -2049858.8046936297, -2801333.4413074935, -275607.64717308973, -1520048.8328956445, -256437.36709387758, -1563630.9589932372, -2368336.8640871784, -2277705.6372639486, -751094.6432218476, -1647237.6002106073, -1356305.2916457949, -391424.3531097147, -548891.1611261406, -1968435.187350058, -196942.86268200757, -925489.7144893629, -1038886.5116779892, -1020860.4774324846, -2605686.295461156, -1455443.3895740926, -826909.5989150212, -832704.8777604972, -1651431.488178846]","[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[407.263768115942, 3622.78, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942, 407.263768115942]",0:00:01.728348
0,nasa93,CART,random search,,3,1.0,0.5566345973804492,368.74210526315784,434224.8089473684,658.9573650452421,180.0,56.00000000000001,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-1604414.642011111,"[-1943793.5764, -2003358.7988000002, -866091.5508333333]","[-1943793.5764, -2003358.7988000002, -866091.5508333333]","[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[70.0, 1924.5, 48.0, 120.0, 756.0, 48.0, 409.0, 98.8, 60.0, 72.0, 18.0, 1248.0, 1368.0, 444.0, 1248.0, 18.0, 36.0, 98.8, 90.0]",0:00:00.002111
1,nasa93,CART,random search,KFold,3,1.0,-0.4422423022228439,588.5368421052632,1412508.4736842108,1188.4899973008653,167.0,-44.0,"{'model__max_depth': 26, 'model__max_features': 0.40919616423534183}",-1426024.8800277775,"[-1721074.9843999997, -1892044.8935999998, -664954.7620833333]","[-1721074.9843999997, -1892044.8935999998, -664954.7620833333]","[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[70.0, 8211.0, 48.0, 120.0, 756.0, 48.0, 409.0, 150.0, 2400.0, 72.0, 18.0, 60.0, 1181.0, 571.4, 1181.0, 18.0, 8.4, 98.8, 48.0]",0:00:00.155337
1,nasa93,CART,random search,RepeatedKFold,3,0.6146148576752921,0.6878973012039398,331.3738656987296,305668.2681056387,552.8727413299001,224.06551724137933,69.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-1589921.6685017701,"[-1933760.9206659282, -1950995.6786118564, -869923.209409345]","[-1106041.8602920605, -1972750.3909635555, -1929773.4325140147, -3463377.4954348914, -793425.5602523366, -1950300.696080793, -843236.3474647522, -876956.3581807457, -1373432.875332782]","[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[351.9344827586207, 4898.5, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207, 699.0, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207, 351.9344827586207]",0:00:00.433117
1,nasa93,CART,random search,HoldOut,3,0.9024152880751923,-0.10788743159844594,457.75497076023385,1085046.7931838857,1041.6557940048554,95.55555555555554,-11.0,"{'model__max_depth': 4, 'model__max_features': 0.959541228979397}",-148930.49174074072,"[-1936868.3613984827, -1845627.8332625786, -761490.9313132468]",[-148930.49174074072],"[62.0, 4178.2, 24.0, 60.0, 576.0, 215.0, 648.0, 192.0, 444.0, 360.0, 50.0, 2400.0, 252.0, 636.0, 973.0, 60.0, 360.0, 155.0, 210.0]","[119.44444444444446, 8211.0, 324.5, 119.44444444444446, 504.4, 119.44444444444446, 703.0, 504.4, 119.44444444444446, 324.5, 119.44444444444446, 504.4, 504.4, 504.4, 504.4, 119.44444444444446, 324.5, 504.4, 119.44444444444446]",0:00:00.078290
