Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,kitchenham,CART,grid search,,3,1.0,-1.216760049944369,1928.5862068965516,7227157.206896552,2688.337256911147,1209.0,-122.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-115917303.22072072,"[-17598736.184210528, -317094321.31578946, -13058852.162162162]","[-17598736.184210528, -317094321.31578946, -13058852.162162162]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[652.0, 989.0, 5094.0, 652.0, 5094.0, 655.0, 380.0, 2223.0, 1425.0, 1122.0, 1304.0, 2203.0, 1432.0, 1455.0, 3555.0, 1584.0, 580.0, 1173.0, 1431.0, 2663.0, 1173.0, 5094.0, 570.0, 1173.0, 1113.0, 3504.0, 5359.0, 1650.0, 302.0]",0:00:00.002985
1,kitchenham,CART,grid search,KFold,3,0.9829625128850856,-0.7363481017644242,1792.8102335928809,5660901.682914589,2379.2649459264912,1097.6666666666667,-74.0,"{'model__max_depth': 5, 'model__max_features': 0.7}",-98054869.37210959,"[-14953766.769243052, -271088121.03534395, -8122720.311741743]","[-14953766.769243052, -271088121.03534395, -8122720.311741743]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[1847.6666666666667, 1241.0, 1617.0967741935483, 3949.0, 1617.0967741935483, 1847.6666666666667, 1617.0967741935483, 1617.0967741935483, 1617.0967741935483, 1847.6666666666667, 1847.6666666666667, 1617.0967741935483, 1847.6666666666667, 3949.0, 1491.6, 1491.6, 1617.0967741935483, 549.0, 1617.0967741935483, 1847.6666666666667, 3949.0, 1617.0967741935483, 1617.0967741935483, 1617.0967741935483, 3949.0, 2949.0, 2949.0, 5550.4, 549.0]",0:00:00.242284
1,kitchenham,CART,grid search,RepeatedKFold,3,0.9976589871380106,-1.2644747220134822,1968.4896551724137,7382718.21862069,2717.115790433063,1273.0,-126.0,"{'model__max_depth': 10, 'model__max_features': 0.3}",-108222902.97197267,"[-18553669.54276316, -339987832.0095029, -6244631.342972973]","[-16174311.742233185, -333352036.4385908, -14591820.962837838, -17814234.701754384, -279947666.99473685, -12003419.338235736, -14639408.339181285, -6528153.497076023, -278955074.7331081]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2029.0, 322.0, 220.0, 437.0, 990.0, 1693.0, 1183.5, 2172.0, 1361.0, 2990.0, 1304.0, 2224.0, 1280.0, 2990.0, 437.0, 1159.0, 990.0, 502.0, 1361.0, 8600.0, 5249.0, 4824.0, 1880.5, 2224.0, 726.0, 3677.0, 5927.0, 3518.2, 2224.0]",0:00:00.360806
1,kitchenham,CART,grid search,HoldOut,3,0.939281523853878,-0.08363967207106215,1451.3205049261085,3532919.2556875665,1879.606143767243,1494.6696428571427,-8.0,"{'model__max_depth': 1, 'model__max_features': None}",-4494695.959046673,"[-13735438.53056399, -324787557.00814253, -3948948.890248649]",[-4494695.959046673],"[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573]",0:00:00.068558
1,kitchenham,CART,grid search,RepeatedHoldOut,3,0.939281523853878,-0.08363967207106215,1451.3205049261085,3532919.2556875665,1879.606143767243,1494.6696428571427,-8.0,"{'model__max_depth': 1, 'model__max_features': None}",-6168516.055105253,"[-13735438.53056399, -324787557.00814253, -3948948.890248649]","[-4494695.959046673, -2231882.025371677, -11778970.18089741]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573, 2471.3303571428573]",0:00:00.154072
1,kitchenham,CART,grid search,Bootstrap,3,0.07182150297573542,-0.7076444482421012,1645.9830635702558,5567321.046425166,2359.517121452007,1565.3979591836733,-71.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-132468172.44364643,"[-13735438.53056399, -316683751.4653054, -3948948.890248649]","[-289509159.99568033, -6967362.239716199, -294029317.25945663, -19538021.261231117, -6547817.7098544175, -7286782.017221299, -4311001.615941992, -5866094.45, -6217367.605698405, -5026983.763157895, -5666990.03866598, -3906644.402885176, -28738208.998823155, -6268554.032923715, -271426314.0964912, -5597920.796931358, -33678931.164758705, -12891068.786626533, -276731755.9332181, -12364546.19667533, -6189715.430095494, -5837822.446704003, -304689769.5755021, -5951439.984558884, -343731322.01593256, -12351768.874519022, -284850664.5225347, -267311500.8452593, -372013743.32865834, -6421877.170474267, -3824394.539339441, -27743600.258661754, -318455747.2757933, -7436374.597702334, -7367782.0261053005, -14883132.120872254, -5504630.186713434, -6646198.331860465, -13216282.07323753, -7531370.733072917, -312695137.5220367, -302534972.0542738, -329799443.0756579, -6979523.998538321, -10701474.011193693, -10126066.971184507, -223247951.67161942, -29380740.51337344, -3361903.64929847, -47004111.316466056]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2328.3979591836733, 10835.733333333334, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733, 2328.3979591836733]",0:00:01.519180
0,kitchenham,CART,random search,,3,1.0,-1.216760049944369,1928.5862068965516,7227157.206896552,2688.337256911147,1209.0,-122.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-115917303.22072072,"[-17598736.184210528, -317094321.31578946, -13058852.162162162]","[-17598736.184210528, -317094321.31578946, -13058852.162162162]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[652.0, 989.0, 5094.0, 652.0, 5094.0, 655.0, 380.0, 2223.0, 1425.0, 1122.0, 1304.0, 2203.0, 1432.0, 1455.0, 3555.0, 1584.0, 580.0, 1173.0, 1431.0, 2663.0, 1173.0, 5094.0, 570.0, 1173.0, 1113.0, 3504.0, 5359.0, 1650.0, 302.0]",0:00:00.002031
1,kitchenham,CART,random search,KFold,3,0.9653175400893407,-0.47581563806216276,1668.4413032454363,4811504.801766552,2193.5142583914408,1370.735294117647,-48.0,"{'model__max_depth': 4, 'model__max_features': 0.7185299851677596}",-98469096.05451317,"[-14473160.909480067, -269604200.4407916, -11329926.813267814]","[-14473160.909480067, -269604200.4407916, -11329926.813267814]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[1592.375, 4400.0, 1694.735294117647, 2832.0, 1694.735294117647, 1592.375, 1694.735294117647, 1694.735294117647, 1694.735294117647, 1592.375, 1592.375, 1694.735294117647, 1592.375, 2832.0, 2832.0, 2832.0, 1694.735294117647, 549.0, 1694.735294117647, 1592.375, 2832.0, 1694.735294117647, 1694.735294117647, 1694.735294117647, 2832.0, 3761.9375, 3761.9375, 3761.9375, 549.0]",0:00:00.147132
1,kitchenham,CART,random search,RepeatedKFold,3,0.9999644855254409,-0.7643337344595997,1748.235632183908,5752141.403256704,2398.362233537024,1014.5,-76.0,"{'model__max_depth': 12, 'model__max_features': 0.9569868963110251}",-107394967.4742773,"[-19785348.210526317, -346272530.4736842, -15218120.47972973]","[-13762595.812865498, -324263412.5197368, -14168584.216216216, -12337333.585526315, -279645328.5906433, -15632599.905405406, -13353769.149122808, -12108560.62006579, -281282522.86891353]","[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[693.0, 989.0, 1163.6666666666667, 1722.0, 380.0, 655.0, 502.0, 2224.0, 2356.0, 1122.0, 1193.3333333333333, 1378.5, 3319.0, 1432.0, 2591.0, 1159.0, 1163.6666666666667, 1754.5, 1378.5, 2663.0, 1754.5, 1318.0, 1163.6666666666667, 1754.5, 652.0, 5927.0, 5927.0, 4009.0, 302.0]",0:00:00.327648
1,kitchenham,CART,random search,HoldOut,3,0.9426738064672676,-0.02700762242001531,1360.865763546798,3348285.503474666,1829.8320970719324,1487.625,-3.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-4814227.80696561,"[-13841631.554367688, -331857085.3902082, -3818145.3480808516]",[-4814227.80696561],"[1660, 2895, 654, 763, 557, 1066, 324, 3826, 2634, 2170, 2037, 2393, 750, 676, 219, 2570, 874, 3966, 698, 2265, 1016, 322, 5646, 8656, 3050, 1860, 718, 321, 1939]","[2250.625, 3471.8571428571427, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625, 2250.625]",0:00:00.079846
