Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,target_values,predicted_target_values,time_tuning
0,kitchenham,CART,grid search,,3,1.0,-52.21085643433036,6329.413793103448,447804375.9655172,21161.38880049032,970.0,-5221.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-104382154.22285444,"[-17996822.89473684, -284167580.3684211, -10982059.405405406]","[-17996822.89473684, -284167580.3684211, -10982059.405405406]","[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1455.0, 1328.0, 1557.0, 322.0, 1660.0, 5456.0, 1660.0, 15673.0, 2224.0, 896.0, 1431.0, 2037.0, 1024.0, 113930.0, 1693.0, 1693.0, 896.0, 2393.0, 980.0, 5646.0, 654.0, 887.0, 1455.0, 988.0, 1722.0, 1660.0, 1698.0, 12646.0, 1698.0]",0:00:00.001996
1,kitchenham,CART,grid search,KFold,3,0.9497820549371074,-50.89591521898272,5787.209975369459,436738280.2506927,20898.284146089427,1621.9910714285716,-5090.0,"{'model__max_depth': 1, 'model__max_features': None}",-95872452.73044808,"[-11311196.742359001, -273304155.56916785, -3002005.879817418]","[-11311196.742359001, -273304155.56916785, -3002005.879817418]","[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 113930.0, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284, 2344.0089285714284]",0:00:00.245820
1,kitchenham,CART,grid search,RepeatedKFold,3,0.9580234818722564,-51.15743683741795,5964.488971730351,438939156.7821465,20950.874845269504,1582.198198198198,-5116.0,"{'model__max_depth': 2, 'model__max_features': None}",-105117048.10681723,"[-11391481.769913383, -274123305.92080164, -6265100.527984523]","[-309494472.46611637, -6415470.743126624, -2144536.9415631844, -7878587.831287125, -5349534.636712986, -278613849.9670923, -3947282.05292601, -2323248.6941709216, -329886449.62835956]","[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 113930.0, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 12646.0, 2251.198198198198]",0:00:00.372887
1,kitchenham,CART,grid search,HoldOut,3,0.964149487652998,-51.25956387419367,6005.877668308702,439798623.0083479,20971.376278354932,1461.5,-5126.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-510712608.43145984,"[-14361953.18168099, -333019148.92186457, -6286040.604810432]",[-510712608.43145984],"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1681.5, 1673.3333333333333, 3995.4285714285716, 1681.5, 1681.5, 3995.4285714285716, 1681.5, 1681.5, 2292.6739130434785, 2292.6739130434785, 2292.6739130434785, 3995.4285714285716, 2292.6739130434785, 113930.0, 1681.5, 1681.5, 2292.6739130434785, 1681.5, 1681.5, 1681.5, 1681.5, 2292.6739130434785, 1681.5, 1681.5, 1681.5, 1681.5, 2292.6739130434785, 12646.0, 2292.6739130434785]",0:00:00.065789
1,kitchenham,CART,grid search,RepeatedHoldOut,3,0.964149487652998,-51.25956387419367,6005.877668308702,439798623.0083479,20971.376278354932,1461.5,-5126.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-175406628.74120793,"[-14361953.18168099, -333019148.92186457, -6286040.604810432]","[-510712608.43145984, -12121613.184050407, -3385664.6081134975]","[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1681.5, 1673.3333333333333, 3995.4285714285716, 1681.5, 1681.5, 3995.4285714285716, 1681.5, 1681.5, 2292.6739130434785, 2292.6739130434785, 2292.6739130434785, 3995.4285714285716, 2292.6739130434785, 113930.0, 1681.5, 1681.5, 2292.6739130434785, 1681.5, 1681.5, 1681.5, 1681.5, 2292.6739130434785, 1681.5, 1681.5, 1681.5, 1681.5, 2292.6739130434785, 12646.0, 2292.6739130434785]",0:00:00.144120
1,kitchenham,CART,grid search,Bootstrap,3,1.0,-52.21085643433036,6329.413793103448,447804375.9655172,21161.38880049032,970.0,-5221.0,"{'model__max_depth': None, 'model__max_features': None}",-106962970.53253287,"[-17996822.89473684, -284167580.3684211, -10982059.405405406]","[-280221664.372093, -9368094.527777778, -685012804.5526316, -7205676.904761905, -11339872.68292683, -289398482.85, -266466964.25, -291781781.825, -8524786.023809524, -248721538.8604651, -8479218.227272727, -15486569.542857142, -263994127.5, -309744562.9512195, -265207823.88636363, -341632304.65789473, -255669713.74468085, -252066731.45238096, -11009907.951219512, -12685177.974358974, -298031959.475, -14314017.585365854, -328312059.05263156, -6045430.395348838, -273415567.12765956, -309980110.94285715, -289940365.1086956, -13155527.136363637, -14173157.394736841, -15234307.533333333, -9858699.738095239, -247421379.45, -258219886.82222223, -13711152.627906976, -270824453.974359, -262474235.02439025, -312151398.5714286, -17740794.425, -345610356.4594595, -16113998.279069768, -302972063.46511626, -19843569.318181816, -258082284.40425533, -7228847.244897959, -8556716.466666667, -10665752.302325582, -296446369.04761904, -280089407.1219512, -12976739.658536585, -6517442.605263158]","[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1455.0, 1328.0, 1557.0, 322.0, 1660.0, 5456.0, 1660.0, 15673.0, 2224.0, 896.0, 1431.0, 2037.0, 1024.0, 113930.0, 1693.0, 1693.0, 896.0, 2393.0, 980.0, 5646.0, 654.0, 887.0, 1455.0, 988.0, 1722.0, 1660.0, 1698.0, 12646.0, 1698.0]",0:00:01.615174
0,kitchenham,CART,random search,,3,1.0,-52.21085643433036,6329.413793103448,447804375.9655172,21161.38880049032,970.0,-5221.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-104382154.22285444,"[-17996822.89473684, -284167580.3684211, -10982059.405405406]","[-17996822.89473684, -284167580.3684211, -10982059.405405406]","[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1455.0, 1328.0, 1557.0, 322.0, 1660.0, 5456.0, 1660.0, 15673.0, 2224.0, 896.0, 1431.0, 2037.0, 1024.0, 113930.0, 1693.0, 1693.0, 896.0, 2393.0, 980.0, 5646.0, 654.0, 887.0, 1455.0, 988.0, 1722.0, 1660.0, 1698.0, 12646.0, 1698.0]",0:00:00.002992
1,kitchenham,CART,random search,KFold,3,0.9580234818722564,-51.15743683741795,5964.488971730351,438939156.7821465,20950.874845269504,1582.198198198198,-5116.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-96260463.31943083,"[-11572937.81044516, -273245815.63804257, -3962636.509804748]","[-11572937.81044516, -273245815.63804257, -3962636.509804748]","[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 113930.0, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 12646.0, 2251.198198198198]",0:00:00.162781
1,kitchenham,CART,random search,RepeatedKFold,3,0.9580234818722564,-51.15743683741795,5964.488971730351,438939156.7821465,20950.874845269504,1582.198198198198,-5116.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-105801773.35976921,"[-11572937.81044516, -273245815.63804257, -3962636.509804748]","[-316429892.4690413, -6415470.743126624, -3855660.199395652, -7878587.831287125, -5917428.4710607985, -278613849.9670923, -4800659.228160103, -2323248.6941709216, -325981162.634588]","[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 113930.0, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 2251.198198198198, 12646.0, 2251.198198198198]",0:00:00.349354
1,kitchenham,CART,random search,HoldOut,3,0.9632051952554223,-51.112911950465076,5925.420197044335,438564450.55576825,20941.93044004703,1410.6428571428573,-5111.0,"{'model__max_depth': 4, 'model__max_features': 0.42939811886786894}",-510014242.3623346,"[-15314983.470407523, -327552343.56362534, -5902033.779144296]",[-510014242.3623346],"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1993.8777777777777, 2842.6428571428573, 2842.6428571428573, 1993.8777777777777, 1993.8777777777777, 2842.6428571428573, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 2842.6428571428573, 1993.8777777777777, 113930.0, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 1993.8777777777777, 12646.0, 1993.8777777777777]",0:00:00.112850
